city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Helsinki,60.1708,24.9375,Finland,FI,Uusimaa,primary,1360075,664921
Tampere,61.4981,23.7600,Finland,FI,Pirkanmaa,admin,334112,231853
Espoo,60.2056,24.6556,Finland,FI,Uusimaa,minor,297132,297132
Turku,60.4500,22.2667,Finland,FI,Varsinais-Suomi,admin,252468,187604
Vantaa,60.2944,25.0403,Finland,FI,Uusimaa,minor,214605,214605
Oulu,65.0142,25.4719,Finland,FI,Pohjois-Pohjanmaa,admin,208939,200526
Jyväskylä,62.2417,25.7417,Finland,FI,Keski-Suomi,admin,145887,145887
Kuopio,62.8925,27.6783,Finland,FI,Pohjois-Savo,admin,121557,121557
Lahti,60.9833,25.6500,Finland,FI,Päijät-Häme,admin,118119,118119
Kouvola,60.8681,26.7042,Finland,FI,Kymenlaakso,admin,85855,85855
Pori,61.4833,21.8000,Finland,FI,Satakunta,admin,85363,85363
Joensuu,62.6000,29.7500,Finland,FI,Pohjois-Karjala,admin,75514,75514
Lappeenranta,61.0667,28.1833,Finland,FI,Etelä-Karjala,admin,72650,72650
Hämeenlinna,60.9944,24.4667,Finland,FI,Kanta-Häme,admin,68011,68011
Vaasa,63.1000,21.6167,Finland,FI,Pohjanmaa,admin,67619,67619
Seinäjoki,62.7917,22.8417,Finland,FI,Etelä-Pohjanmaa,admin,64150,64150
Rovaniemi,66.5000,25.7333,Finland,FI,Lappi,admin,62420,62420
Mikkeli,61.6890,27.2720,Finland,FI,Etelä-Savo,admin,54621,54621
Salo,60.3861,23.1250,Finland,FI,Varsinais-Suomi,minor,52984,52984
Kotka,60.4667,26.9417,Finland,FI,Kymenlaakso,minor,50617,50617
Porvoo,60.3944,25.6639,Finland,FI,Uusimaa,minor,49928,49928
Kokkola,63.8367,23.1333,Finland,FI,Keski-Pohjanmaa,admin,47570,47570
Lohja,60.2500,24.0667,Finland,FI,Uusimaa,minor,46785,46785
Hyvinkää,60.6333,24.8500,Finland,FI,Uusimaa,minor,46739,46739
Kirkkonummi,60.1167,24.4333,Finland,FI,Uusimaa,minor,40722,40722
Järvenpää,60.4750,25.0917,Finland,FI,Uusimaa,minor,40106,40106
Rauma,61.1333,21.5000,Finland,FI,Satakunta,minor,39809,39809
Tuusula,60.4333,25.0500,Finland,FI,Uusimaa,minor,38646,38646
Kajaani,64.2311,27.7194,Finland,FI,Kainuu,admin,36297,36297
Savonlinna,61.8681,28.8861,Finland,FI,Etelä-Savo,minor,35523,35523
Kerava,60.4000,25.1000,Finland,FI,Uusimaa,minor,35293,35293
Nokia,61.4767,23.5053,Finland,FI,Pirkanmaa,minor,33322,33322
Kaarina,60.4000,22.3667,Finland,FI,Varsinais-Suomi,minor,33099,33099
Ylöjärvi,61.5500,23.5833,Finland,FI,Pirkanmaa,minor,32738,32738
Kangasala,61.4667,24.0667,Finland,FI,Pirkanmaa,minor,32229,32229
Jyväskylän Maalaiskunta,62.2889,25.7417,Finland,FI,Keski-Suomi,,31870,31870
Riihimäki,60.7333,24.7667,Finland,FI,Kanta-Häme,minor,29269,29269
Raseborg,59.9750,23.4333,Finland,FI,Uusimaa,minor,28405,28405
Imatra,61.1833,28.7667,Finland,FI,Etelä-Karjala,minor,25655,25655
Sastamala,61.3417,22.9083,Finland,FI,Pirkanmaa,minor,25220,25220
Raahe,64.6833,24.4667,Finland,FI,Pohjois-Pohjanmaa,minor,25165,25165
Raisio,60.4858,22.1692,Finland,FI,Varsinais-Suomi,minor,24290,24290
Hollola,60.9867,25.5167,Finland,FI,Päijät-Häme,minor,22943,22943
Lempäälä,61.3167,23.7500,Finland,FI,Pirkanmaa,minor,22536,22536
Tornio,65.8500,24.1500,Finland,FI,Lappi,minor,21928,21928
Siilinjärvi,63.0750,27.6600,Finland,FI,Pohjois-Savo,minor,21794,21794
Kurikka,62.6167,22.4000,Finland,FI,Etelä-Pohjanmaa,minor,21734,21734
Iisalmi,63.5567,27.1883,Finland,FI,Pohjois-Savo,minor,21639,21639
Varkaus,62.3167,27.8917,Finland,FI,Pohjois-Savo,minor,21155,21155
Klaukkala,60.3820,24.7492,Finland,FI,Uusimaa,,21019,21019
Valkeakoski,61.2667,24.0333,Finland,FI,Pirkanmaa,minor,20800,20800
Mäntsälä,60.6331,25.3167,Finland,FI,Uusimaa,minor,20685,20685
Äänekoski,62.6000,25.7250,Finland,FI,Keski-Suomi,minor,19919,19919
Hamina,60.5667,27.2000,Finland,FI,Kymenlaakso,minor,19877,19877
Kuusankoski,60.9083,26.6236,Finland,FI,Kymenlaakso,,19831,19831
Korsholm,63.1125,21.6778,Finland,FI,Pohjanmaa,minor,19662,19662
Lieto,60.5050,22.4583,Finland,FI,Varsinais-Suomi,minor,19596,19596
Heinola,61.2000,26.0333,Finland,FI,Päijät-Häme,minor,19575,19575
Kemi,65.7361,24.5636,Finland,FI,Lappi,minor,19437,19437
Sipoo,60.3750,25.2667,Finland,FI,Uusimaa,minor,19399,19399
Jämsä,61.8667,25.1833,Finland,FI,Keski-Suomi,minor,19347,19347
Jakobstad,63.6667,22.7000,Finland,FI,Pohjanmaa,minor,19207,19207
Naantali,60.4667,22.0333,Finland,FI,Varsinais-Suomi,minor,19167,19167
Haukipudas,65.1833,25.3500,Finland,FI,Pohjois-Pohjanmaa,,18994,18994
Laukaa,62.4167,25.9500,Finland,FI,Keski-Suomi,minor,18978,18978
Pirkkala,61.4667,23.6500,Finland,FI,Pirkanmaa,minor,18913,18913
Pieksämäki,62.3003,27.1642,Finland,FI,Etelä-Savo,minor,18220,18220
Kempele,64.9125,25.5083,Finland,FI,Pohjois-Pohjanmaa,minor,17535,17535
Forssa,60.8167,23.6250,Finland,FI,Kanta-Häme,minor,17185,17185
Janakkala,60.9167,24.6500,Finland,FI,Kanta-Häme,minor,16853,16853
Kauhava,63.1000,23.0667,Finland,FI,Etelä-Pohjanmaa,minor,16784,16784
Orimattila,60.8042,25.7333,Finland,FI,Päijät-Häme,minor,16221,16221
Loimaa,60.8500,23.0583,Finland,FI,Varsinais-Suomi,minor,16150,16150
Pielisjärvi,63.3000,30.0500,Finland,FI,Pohjois-Karjala,,16150,16150
